magnitude,style,percentile,mu,sigma,avg_displ
5.0,strike-slip,0.5,-1.8200000000000003,0.28,0.015135612484362071
5.1,strike-slip,0.5,-1.7300000000000004,0.28,0.018620871366628655
5.199999999999999,strike-slip,0.5,-1.6400000000000006,0.28,0.0229086765276777
5.299999999999999,strike-slip,0.5,-1.5500000000000007,0.28,0.02818382931264449
5.399999999999999,strike-slip,0.5,-1.4600000000000017,0.28,0.034673685045253026
5.499999999999998,strike-slip,0.5,-1.3700000000000019,0.28,0.042657951880159084
5.599999999999998,strike-slip,0.5,-1.280000000000002,0.28,0.052480746024977015
5.6999999999999975,strike-slip,0.5,-1.1900000000000022,0.28,0.06456542290346523
5.799999999999997,strike-slip,0.5,-1.1000000000000023,0.28,0.07943282347242772
5.899999999999997,strike-slip,0.5,-1.0100000000000033,0.28,0.09772372209558032
5.9999999999999964,strike-slip,0.5,-0.9200000000000035,0.28,0.12022644346174033
6.099999999999996,strike-slip,0.5,-0.8300000000000036,0.28,0.14791083881681952
6.199999999999996,strike-slip,0.5,-0.7400000000000038,0.28,0.18197008586099678
6.299999999999995,strike-slip,0.5,-0.6500000000000039,0.28,0.22387211385683195
6.399999999999995,strike-slip,0.5,-0.5600000000000049,0.28,0.2754228703338135
6.499999999999995,strike-slip,0.5,-0.4700000000000051,0.28,0.3388441561391986
6.599999999999994,strike-slip,0.5,-0.3800000000000052,0.28,0.41686938347033037
6.699999999999994,strike-slip,0.5,-0.29000000000000536,0.28,0.5128613839913585
6.799999999999994,strike-slip,0.5,-0.2000000000000055,0.28,0.6309573444801853
6.899999999999993,strike-slip,0.5,-0.11000000000000654,0.28,0.7762471166286801
6.999999999999993,strike-slip,0.5,-0.02000000000000668,0.28,0.9549925860214212
7.0999999999999925,strike-slip,0.5,0.06999999999999318,0.28,1.174897554939511
7.199999999999992,strike-slip,0.5,0.15999999999999304,0.28,1.4454397707459044
7.299999999999992,strike-slip,0.5,0.2499999999999929,0.28,1.7782794100388937
7.3999999999999915,strike-slip,0.5,0.33999999999999186,0.28,2.1877616239495117
7.499999999999991,strike-slip,0.5,0.4299999999999917,0.28,2.6915348039268645
7.599999999999991,strike-slip,0.5,0.5199999999999916,0.28,3.311311214825847
7.69999999999999,strike-slip,0.5,0.6099999999999914,0.28,4.073802778041047
7.79999999999999,strike-slip,0.5,0.6999999999999913,0.28,5.0118723362726225
7.89999999999999,strike-slip,0.5,0.7899999999999903,0.28,6.165950018614684
7.999999999999989,strike-slip,0.5,0.8799999999999901,0.28,7.585775750291665
8.099999999999989,strike-slip,0.5,0.96999999999999,0.28,9.332543007969695
8.199999999999989,strike-slip,0.5,1.0599999999999898,0.28,11.481536214968559
8.299999999999988,strike-slip,0.5,1.1499999999999897,0.28,14.125375446227208
8.399999999999988,strike-slip,0.5,1.2399999999999887,0.28,17.3780082874933
8.499999999999988,strike-slip,0.5,1.3299999999999885,0.28,21.379620895021755
