magnitude,style,percentile,mu,sigma,avg_displ
5.0,reverse,0.5,-0.33999999999999997,0.38,0.4570881896148751
5.1,reverse,0.5,-0.332,0.38,0.46558609352295893
5.199999999999999,reverse,0.5,-0.32400000000000007,0.38,0.4742419852602446
5.299999999999999,reverse,0.5,-0.31600000000000006,0.38,0.4830588020397726
5.399999999999999,reverse,0.5,-0.3080000000000001,0.38,0.4920395356814508
5.499999999999998,reverse,0.5,-0.3000000000000001,0.38,0.5011872336272721
5.599999999999998,reverse,0.5,-0.29200000000000015,0.38,0.5105049999754061
5.6999999999999975,reverse,0.5,-0.2840000000000002,0.38,0.5199959965335158
5.799999999999997,reverse,0.5,-0.2760000000000002,0.38,0.5296634438916576
5.899999999999997,reverse,0.5,-0.26800000000000024,0.38,0.5395106225151274
5.9999999999999964,reverse,0.5,-0.2600000000000003,0.38,0.5495408738576242
6.099999999999996,reverse,0.5,-0.2520000000000003,0.38,0.5597576014951098
6.199999999999996,reverse,0.5,-0.24400000000000033,0.38,0.5701642722807471
6.299999999999995,reverse,0.5,-0.23600000000000032,0.38,0.5807644175213116
6.399999999999995,reverse,0.5,-0.22800000000000042,0.38,0.5915616341754734
6.499999999999995,reverse,0.5,-0.22000000000000042,0.38,0.6025595860743572
6.599999999999994,reverse,0.5,-0.2120000000000004,0.38,0.6137620051647936
6.699999999999994,reverse,0.5,-0.20400000000000051,0.38,0.6251726927756851
6.799999999999994,reverse,0.5,-0.1960000000000005,0.38,0.636795520907915
6.899999999999993,reverse,0.5,-0.1880000000000005,0.38,0.6486344335482377
6.999999999999993,reverse,0.5,-0.1800000000000005,0.38,0.6606934480075952
7.0999999999999925,reverse,0.5,-0.1720000000000006,0.38,0.6729766562843168
7.199999999999992,reverse,0.5,-0.1640000000000006,0.38,0.6854882264526606
7.299999999999992,reverse,0.5,-0.15600000000000058,0.38,0.6982324040771705
7.3999999999999915,reverse,0.5,-0.1480000000000007,0.38,0.711213513653328
7.499999999999991,reverse,0.5,-0.14000000000000068,0.38,0.7244359600749889
7.599999999999991,reverse,0.5,-0.13200000000000067,0.38,0.7379042301290998
7.69999999999999,reverse,0.5,-0.12400000000000078,0.38,0.7516228940182041
7.79999999999999,reverse,0.5,-0.11600000000000077,0.38,0.765596606911255
7.89999999999999,reverse,0.5,-0.10800000000000076,0.38,0.7798301105232573
7.999999999999989,reverse,0.5,-0.10000000000000087,0.38,0.7943282347242799
8.099999999999989,reverse,0.5,-0.09200000000000086,0.38,0.8090958991783807
8.199999999999989,reverse,0.5,-0.08400000000000085,0.38,0.8241381150130006
8.299999999999988,reverse,0.5,-0.07600000000000096,0.38,0.8394599865193956
8.399999999999988,reverse,0.5,-0.06800000000000095,0.38,0.8550667128846814
8.499999999999988,reverse,0.5,-0.06000000000000094,0.38,0.8709635899560787
