magnitude,style,model_number,avg_displ
5.0,-1,normal,0.0007030714117053262
5.1,-1,normal,0.0013067332544004675
5.199999999999999,-1,normal,0.0023252415943384626
5.299999999999999,-1,normal,0.0039860048730774285
5.399999999999999,-1,normal,0.006615058523603629
5.499999999999998,-1,normal,0.01067038003477856
5.599999999999998,-1,normal,0.01678370534565123
5.6999999999999975,-1,normal,0.025812378831829262
5.799999999999997,-1,normal,0.038902927364161316
5.899999999999997,-1,normal,0.05756819257948368
5.9999999999999964,-1,normal,0.08377992961514712
6.099999999999996,-1,normal,0.12007857958852729
6.199999999999996,-1,normal,0.16970067897925384
6.299999999999995,-1,normal,0.2367192179853443
6.399999999999995,-1,normal,0.32617257534511723
6.499999999999995,-1,normal,0.44408453839814793
6.599999999999994,-1,normal,0.5970149329382974
6.699999999999994,-1,normal,0.7899154700010266
6.799999999999994,-1,normal,1.0190305202252226
6.899999999999993,-1,normal,1.2580318783023363
6.999999999999993,-1,normal,1.4651614248271332
7.0999999999999925,-1,normal,1.6380810273020574
7.199999999999992,-1,normal,1.799645345928479
7.299999999999992,-1,normal,1.9587537876623158
7.3999999999999915,-1,normal,2.1205169312942123
7.499999999999991,-1,normal,2.2891379392873006
7.599999999999991,-1,normal,2.467327740531385
7.69999999999999,-1,normal,2.6567559002280063
7.79999999999999,-1,normal,2.858570108762827
7.89999999999999,-1,normal,3.0736982476119326
7.999999999999989,-1,normal,3.3029939601825076
8.099999999999989,-1,normal,3.5473020388299172
8.199999999999989,-1,normal,3.8074871910608286
8.299999999999988,-1,normal,4.084446948353697
8.399999999999988,-1,normal,4.379117919982914
8.499999999999988,-1,normal,4.692479321327925
