magnitude,style,model_number,avg_displ
5.0,-1,reverse,0.1485251392746739
5.1,-1,reverse,0.16980398103068953
5.199999999999999,-1,reverse,0.19374501835797844
5.299999999999999,-1,reverse,0.22063455702127263
5.399999999999999,-1,reverse,0.250784803009494
5.499999999999998,-1,reverse,0.2845357723103939
5.599999999999998,-1,reverse,0.32225730962714927
5.6999999999999975,-1,reverse,0.364351219675658
5.799999999999997,-1,reverse,0.41125351313961517
5.899999999999997,-1,reverse,0.46343676444819665
5.9999999999999964,-1,reverse,0.5214125635776359
6.099999999999996,-1,reverse,0.58573399901148
6.199999999999996,-1,reverse,0.6569979739566099
6.299999999999995,-1,reverse,0.7358467548820531
6.399999999999995,-1,reverse,0.8229669559014205
6.499999999999995,-1,reverse,0.9190806648403731
6.599999999999994,-1,reverse,1.0249135485260563
6.699999999999994,-1,reverse,1.141099668646258
6.799999999999994,-1,reverse,1.2679378694730035
6.899999999999993,-1,reverse,1.4049427768928884
6.999999999999993,-1,reverse,1.5506447970899522
7.0999999999999925,-1,reverse,1.7038229538039158
7.199999999999992,-1,reverse,1.8652366655312385
7.299999999999992,-1,reverse,2.0370316569326197
7.3999999999999915,-1,reverse,2.2212604373205838
7.499999999999991,-1,reverse,2.4194931580913557
7.599999999999991,-1,reverse,2.633003038166233
7.69999999999999,-1,reverse,2.8629532918485925
7.79999999999999,-1,reverse,3.1104958071164286
7.89999999999999,-1,reverse,3.37681587013023
7.999999999999989,-1,reverse,3.6631522905572766
8.099999999999989,-1,reverse,3.970807311308078
8.199999999999989,-1,reverse,4.3011524473436324
8.299999999999988,-1,reverse,4.655632761916847
8.399999999999988,-1,reverse,5.035770588200945
8.499999999999988,-1,reverse,5.443169099697024
