magnitude,style,percentile,mu,sigma,avg_displ
5.0,all,0.5,-1.35,0.36,0.0446683592150963
5.1,all,0.5,-1.2810000000000001,0.36,0.05236004365857501
5.199999999999999,all,0.5,-1.2120000000000006,0.36,0.06137620051647933
5.299999999999999,all,0.5,-1.1430000000000007,0.36,0.07194489780036983
5.399999999999999,all,0.5,-1.0740000000000012,0.36,0.08433347577642732
5.499999999999998,all,0.5,-1.0050000000000012,0.36,0.09885530946569361
5.599999999999998,all,0.5,-0.9360000000000017,0.36,0.11587773561551215
5.6999999999999975,all,0.5,-0.8670000000000018,0.36,0.13583134465871485
5.799999999999997,all,0.5,-0.7980000000000018,0.36,0.15922087270511634
5.899999999999997,all,0.5,-0.7290000000000028,0.36,0.1866379690834658
5.9999999999999964,all,0.5,-0.6600000000000028,0.36,0.21877616239495384
6.099999999999996,all,0.5,-0.5910000000000029,0.36,0.25644840365177
6.199999999999996,all,0.5,-0.5220000000000029,0.36,0.30060763026282106
6.299999999999995,all,0.5,-0.45300000000000296,0.36,0.35237087104248477
6.399999999999995,all,0.5,-0.3840000000000039,0.36,0.41304750199015766
6.499999999999995,all,0.5,-0.31500000000000394,0.36,0.48417236758409493
6.599999999999994,all,0.5,-0.246000000000004,0.36,0.5675446054085419
6.699999999999994,all,0.5,-0.17700000000000404,0.36,0.6652731562017352
6.799999999999994,all,0.5,-0.10800000000000498,0.36,0.7798301105232498
6.899999999999993,all,0.5,-0.03900000000000503,0.36,0.9141132414702396
6.999999999999993,all,0.5,0.02999999999999492,0.36,1.071519305237594
7.0999999999999925,all,0.5,0.09899999999999487,0.36,1.25602996369486
7.199999999999992,all,0.5,0.16799999999999482,0.36,1.4723125024327013
7.299999999999992,all,0.5,0.23699999999999388,0.36,1.7258378919901793
7.3999999999999915,all,0.5,0.30599999999999383,0.36,2.023019178678243
7.499999999999991,all,0.5,0.3749999999999938,0.36,2.3713737056616213
7.599999999999991,all,0.5,0.44399999999999373,0.36,2.7797132677592487
7.69999999999999,all,0.5,0.5129999999999928,0.36,3.2583670100200335
7.79999999999999,all,0.5,0.5819999999999927,0.36,3.819442708400402
7.89999999999999,all,0.5,0.6509999999999927,0.36,4.47713304176355
7.999999999999989,all,0.5,0.7199999999999926,0.36,5.2480746024976375
8.099999999999989,all,0.5,0.7889999999999917,0.36,6.151768727098564
8.199999999999989,all,0.5,0.8579999999999917,0.36,7.211074791828858
8.299999999999988,all,0.5,0.9269999999999916,0.36,8.452788451602736
8.399999999999988,all,0.5,0.9959999999999916,0.36,9.908319448927482
8.499999999999988,all,0.5,1.0649999999999915,0.36,11.614486138403201
