magnitude,style,model_number,avg_displ
5.0,-1,strike-slip,0.0004704794263454119
5.1,-1,strike-slip,0.0012683426448002588
5.199999999999999,-1,strike-slip,0.002820502725116389
5.299999999999999,-1,strike-slip,0.0054986765506466265
5.399999999999999,-1,strike-slip,0.00974721058183609
5.499999999999998,-1,strike-slip,0.016086295361786927
5.599999999999998,-1,strike-slip,0.02512332451616095
5.6999999999999975,-1,strike-slip,0.037577638150709754
5.799999999999997,-1,strike-slip,0.05432094168311601
5.899999999999997,-1,strike-slip,0.0764347025130285
5.9999999999999964,-1,strike-slip,0.1052856002069886
6.099999999999996,-1,strike-slip,0.14262015742478426
6.199999999999996,-1,strike-slip,0.19068018674920842
6.299999999999995,-1,strike-slip,0.2523421812988081
6.399999999999995,-1,strike-slip,0.3312868952584476
6.499999999999995,-1,strike-slip,0.43220696329763536
6.599999999999994,-1,strike-slip,0.5610256538911043
6.699999999999994,-1,strike-slip,0.724825175736369
6.799999999999994,-1,strike-slip,0.9300380620923333
6.899999999999993,-1,strike-slip,1.1759978784812255
6.999999999999993,-1,strike-slip,1.44716937797948
7.0999999999999925,-1,strike-slip,1.7216408842498985
7.199999999999992,-1,strike-slip,1.9929291723391394
7.299999999999992,-1,strike-slip,2.2704948477885196
7.3999999999999915,-1,strike-slip,2.565788275324461
7.499999999999991,-1,strike-slip,2.8867156568787693
7.599999999999991,-1,strike-slip,3.2384191750718507
7.69999999999999,-1,strike-slip,3.624720925233576
7.79999999999999,-1,strike-slip,4.048957897403497
7.89999999999999,-1,strike-slip,4.514369152256057
7.999999999999989,-1,strike-slip,5.024264998933306
8.099999999999989,-1,strike-slip,5.58210159521385
8.199999999999989,-1,strike-slip,6.191516182881182
8.299999999999988,-1,strike-slip,6.856346251112913
8.399999999999988,-1,strike-slip,7.58064224416674
8.499999999999988,-1,strike-slip,8.368677748077898
