magnitude,style,percentile,mu,sigma,avg_displ
5.0,normal,0.5,-1.3000000000000003,0.33,0.0501187233627272
5.1,normal,0.5,-1.2370000000000005,0.33,0.05794286964268803
5.199999999999999,normal,0.5,-1.1740000000000008,0.33,0.06698846094165252
5.299999999999999,normal,0.5,-1.1110000000000007,0.33,0.07744617978025176
5.399999999999999,normal,0.5,-1.048000000000001,0.33,0.0895364765549592
5.499999999999998,normal,0.5,-0.9850000000000012,0.33,0.10351421666793409
5.599999999999998,normal,0.5,-0.9220000000000015,0.33,0.11967405313072393
5.6999999999999975,normal,0.5,-0.8590000000000018,0.33,0.13835663789717753
5.799999999999997,normal,0.5,-0.796000000000002,0.33,0.15995580286146613
5.899999999999997,normal,0.5,-0.7330000000000023,0.33,0.18492686189780683
5.9999999999999964,normal,0.5,-0.6700000000000026,0.33,0.21379620895022194
6.099999999999996,normal,0.5,-0.6070000000000024,0.33,0.24717241450161165
6.199999999999996,normal,0.5,-0.5440000000000027,0.33,0.2857590543374929
6.299999999999995,normal,0.5,-0.481000000000003,0.33,0.33036954103681254
6.399999999999995,normal,0.5,-0.4180000000000037,0.33,0.3819442708400433
6.499999999999995,normal,0.5,-0.3550000000000031,0.33,0.44157044735330936
6.599999999999994,normal,0.5,-0.29200000000000337,0.33,0.5105049999754023
6.699999999999994,normal,0.5,-0.22900000000000365,0.33,0.5902010801718394
6.799999999999994,normal,0.5,-0.16600000000000392,0.33,0.6823386941416635
6.899999999999993,normal,0.5,-0.1030000000000042,0.33,0.7888601176185468
6.999999999999993,normal,0.5,-0.040000000000004476,0.33,0.9120108393559003
7.0999999999999925,normal,0.5,0.022999999999995246,0.33,1.0543868963912473
7.199999999999992,normal,0.5,0.08599999999999497,0.33,1.2189895989248525
7.299999999999992,normal,0.5,0.1489999999999947,0.33,1.4092887984218574
7.3999999999999915,normal,0.5,0.21199999999999442,0.33,1.6292960326397015
7.499999999999991,normal,0.5,0.27499999999999414,0.33,1.883649089489775
7.599999999999991,normal,0.5,0.33799999999999386,0.33,2.177709772353128
7.69999999999999,normal,0.5,0.4009999999999936,0.33,2.5176769277588185
7.79999999999999,normal,0.5,0.4639999999999933,0.33,2.9107171180665605
7.89999999999999,normal,0.5,0.526999999999993,0.33,3.365115693754853
7.999999999999989,normal,0.5,0.5899999999999928,0.33,3.890451449942741
8.099999999999989,normal,0.5,0.6529999999999934,0.33,4.497798548932811
8.199999999999989,normal,0.5,0.7159999999999931,0.33,5.199959965335077
8.299999999999988,normal,0.5,0.7789999999999928,0.33,6.011737374832681
8.399999999999988,normal,0.5,0.8419999999999925,0.33,6.950243175887849
8.499999999999988,normal,0.5,0.9049999999999923,0.33,8.035261221856029
