magnitude,location,style,percentile,model_name,mu,sigma,alpha,beta,xd,d_xd,displ_without_aleatory,displ_with_aleatory,normalized_d_xd
7.0,0.19,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.9131984066417775,0.4965593330591618,1.1261597469078675,0.950016524811892,1.069870369140452,1.1557046384635097,0.9300994583979936
7.0,0.2,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.9518936423393958,0.49085819571410527,1.1261597469078675,0.9581029915045489,1.0789770224244335,1.1647012540679562,0.9380163925720415
7.0,0.21,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.992032750417707,0.48479376756132675,1.1261597469078675,0.9657250621805523,1.0875606916078353,1.1732194562089444,0.9454786667772462
7.0,0.22,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.033301445810688,0.4785255851646365,1.1261597469078675,0.972986764172661,1.0957385280853889,1.1833250792977634,0.9525881274166232
7.0,0.23,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.0753570268201713,0.4722060226333753,1.1261597469078675,0.9799960871789802,1.1036321455081808,1.190432313299827,0.9594505001876705
7.0,0.24,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.1178266547684292,0.4659798901370498,1.1261597469078675,0.9868646319183084,1.111367224113448,1.2007300354426897,0.9661750461036445
7.0,0.25,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.160306262846681,0.4599844934309068,1.1261597469078675,0.993707381971146,1.1190732537811054,1.2090204432038398,0.9728743381179148
7.0,0.26,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.2023601923183556,0.4543501148782233,1.1261597469078675,1.000642606383071,1.126883424349588,1.2182963121336878,0.979664165769257
7.0,0.27,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.24352165788008,0.44920087868899705,1.1261597469078675,1.0077919000775275,1.1349346711271073,1.2251985978441837,0.9866635747473892
7.0,0.28,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.283294143435899,0.4446559686376982,1.1261597469078675,1.0152803690342729,1.143367883432163,1.2330899125713912,0.9939950481891571
7.0,0.29,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.3211538240516836,0.4408311749823768,1.1261597469078675,1.0232369675715407,1.15232828442714,1.2432909614481935,1.0017848368895887
7.0,0.3,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.3565530987133694,0.43784075840366893,1.1261597469078675,1.0317949959591777,1.1619659915101916,1.2547529165192772,1.010163446482587
