magnitude,location,style,percentile,model_name,mu,sigma,alpha,beta,xd,d_xd,displ_without_aleatory,displ_with_aleatory,normalized_d_xd
7.0,0.0,normal,-1,d_ad,0.03000000000000025,0.36,0.8244819741391082,1.0090406217738679,1.071519305237607,0.8319358038266718,0.8914352745186455,1.2589738445385779,0.739488137239744
7.0,0.01,normal,-1,d_ad,0.03000000000000025,0.36,0.8380143957066932,1.0042490015176486,1.071519305237607,0.8415751201458623,0.9017639880439501,1.2740803195787338,0.748056298432417
7.0,0.02,normal,-1,d_ad,0.03000000000000025,0.36,0.8517689281744881,0.9994801351765684,1.071519305237607,0.8513261234710382,0.9122123763523121,1.2863041597877023,0.7567237355735827
7.0,0.03,normal,-1,d_ad,0.03000000000000025,0.36,0.8657492171022876,0.9947339146993573,1.071519305237607,0.8611901078760623,0.9227818260688582,1.3005259625550605,0.7654915989350122
7.0,0.04,normal,-1,d_ad,0.03000000000000025,0.36,0.8799589678853389,0.9900102325478474,1.071519305237607,0.8711683824287281,0.9334737398850007,1.3160322832932423,0.7743610521162276
7.0,0.05,normal,-1,d_ad,0.03000000000000025,0.36,0.8944019467364355,0.9853089816945356,1.071519305237607,0.8812622713644875,0.9442895367445913,1.3309991750148942,0.7833332721989262
7.0,0.06,normal,-1,d_ad,0.03000000000000025,0.36,0.9090819816841298,0.9806300556201596,1.071519305237607,0.8914731142621931,0.9552306520322311,1.3492367858838656,0.7924094499031918
7.0,0.07,normal,-1,d_ad,0.03000000000000025,0.36,0.9240029635873311,0.9759733483112837,1.071519305237607,0.9018022662218768,0.966298537763765,1.3603731910958978,0.8015907897455196
7.0,0.08,normal,-1,d_ad,0.03000000000000025,0.36,0.9391688471665541,0.9713387542578973,1.071519305237607,0.9122510980445863,0.9774946627789792,1.3760267561137207,0.8108785101986672
7.0,0.09,normal,-1,d_ad,0.03000000000000025,0.36,0.9545836520520959,0.9667261684510238,1.071519305237607,0.9228209964143079,0.9888205129365355,1.4009569485656084,0.8202738438533627
7.0,0.1,normal,-1,d_ad,0.03000000000000025,0.36,0.9702514638494153,0.9621354863803417,1.071519305237607,0.9335133640819957,1.0002775913111615,1.4108884430752986,0.829778037581883
7.0,0.11,normal,-1,d_ad,0.03000000000000025,0.36,0.9861764352219992,0.9575666040318166,1.071519305237607,0.9443296200517325,1.0118674183931258,1.4265280200689456,0.8393923527035282
7.0,0.12,normal,-1,d_ad,0.03000000000000025,0.36,1.0023627869920024,0.9530194178853442,1.071519305237607,0.9552711997690494,1.023591532290027,1.4441644345262172,0.8491180651520149
7.0,0.13,normal,-1,d_ad,0.03000000000000025,0.36,1.0188148092589522,0.9484938249124053,1.071519305237607,0.9663395553114262,1.0354514889309177,1.4627029836756444,0.8589564656448067
7.0,0.14,normal,-1,d_ad,0.03000000000000025,0.36,1.035536862536814,0.9439897225737308,1.071519305237607,0.9775361555809987,1.047448862272793,1.476922700387732,0.8689088598544075
7.0,0.15,normal,-1,d_ad,0.03000000000000025,0.36,1.0525333789097215,0.939507008816979,1.071519305237607,0.9888624864995005,1.0595852445094773,1.4908476384658442,0.878976568581641
7.0,0.16,normal,-1,d_ad,0.03000000000000025,0.36,1.0698088632066747,0.9350455820744229,1.071519305237607,1.0003200512054617,1.071862246282924,1.5141667217921861,0.8891609279309356
7.0,0.17,normal,-1,d_ad,0.03000000000000025,0.36,1.0873678941955185,0.9306053412606489,1.071519305237607,1.0119103702536936,1.0842814968969674,1.5299835854550778,0.8994632894876418
7.0,0.18,normal,-1,d_ad,0.03000000000000025,0.36,1.105215125796519,0.926186185770267,1.071519305237607,1.0236349818170838,1.0968446445335522,1.5502600185974615,0.9098850204974028
7.0,0.19,normal,-1,d_ad,0.03000000000000025,0.36,1.1233552883158595,0.9217880154756305,1.071519305237607,1.035495441890731,1.109553356471465,1.5661032527407481,0.920427504047606
7.0,0.2,normal,-1,d_ad,0.03000000000000025,0.36,1.141793189699379,0.9174107307245681,1.071519305237607,1.0474933244984426,1.1224093193076026,1.5779580879366497,0.9310921392509327
7.0,0.21,normal,-1,d_ad,0.03000000000000025,0.36,1.1605337168068917,0.9130542323381257,1.071519305237607,1.0596302219016283,1.1354142391808042,1.5993732777991885,0.9418803414310393
7.0,0.22,normal,-1,d_ad,0.03000000000000025,0.36,1.1795818367074216,0.9087184216083188,1.071519305237607,1.0719077448106098,1.1485698419982748,1.6216998192729286,0.9527935423103858
7.0,0.23,normal,-1,d_ad,0.03000000000000025,0.36,1.1989425979956942,0.9044032002958969,1.071519305237607,1.0843275225983828,1.161877873664635,1.6410431445657794,0.963833190200243
7.0,0.24,normal,-1,d_ad,0.03000000000000025,0.36,1.218621132130239,0.9001084706281169,1.071519305237607,1.0968912035168539,1.175340100313622,1.6579964043208093,0.9750007501929012
7.0,0.25,normal,-1,d_ad,0.03000000000000025,0.36,1.2386226547934522,0.8958341352965282,1.071519305237607,1.1096004549155825,1.1889583085424777,1.6771627889416483,0.9862977043561043
7.0,0.26,normal,-1,d_ad,0.03000000000000025,0.36,1.2589524672739836,0.8915800974547677,1.071519305237607,1.1224569634630586,1.2027343056490507,1.6957021531826597,0.9977255519297384
7.0,0.27,normal,-1,d_ad,0.03000000000000025,0.36,1.2796159578718125,0.8873462607163657,1.071519305237607,1.1354624353705434,1.216669919871646,1.7141020986462374,1.0092858095247985
