magnitude,location,style,percentile,model_number,lambda,mu_site,sigma_site,mu_complement,sigma_complement,Y_site,Y_complement,Y_folded,displ_site,displ_complement,displ_folded,normalized_displ_site,normalized_displ_complement,normalized_displ_folded
7.0,0.0,normal,-1.0,-1,0.119202946,-1.4829561238062707,0.8819181558040211,-1.4829561238062707,0.8819181558040211,-1.1378442120347476,-1.1378442120347476,-1.1378442120347476,0.2944094490234897,0.2944094490234897,0.2944094490234897,0.20093994015589298,0.20093994015589295,0.22125514492383044
7.0,0.01,normal,-1.0,-1,0.119202946,-0.4044516358350676,0.8819181558040211,-1.4379720336174597,0.8819181558040211,-0.09328858668037189,-1.094387702899511,-0.5938381447899415,0.9104546746759206,0.3095430076741748,0.5401524119808643,0.6214022968720543,0.21126887619955823,0.40593636036541536
7.0,0.02,normal,-1.0,-1,0.119202946,-0.17363918624812835,0.8819181558040211,-1.3941466202894575,0.8819181558040211,0.13094838777865198,-1.0520408798320573,-0.4605462460267027,1.1387565085610332,0.3249450743397836,0.6227124112408656,0.7772225566854375,0.22178107397150398,0.4679820068681725
7.0,0.03,normal,-1.0,-1,0.119202946,-0.02258311649006539,0.8819181558040211,-1.350915992301593,0.8819181558040211,0.2778241403417031,-1.0102594813854064,-0.36621767052185167,1.3143244896687791,0.3407990523195708,0.6876662434153288,0.8970509784093159,0.23260170964423035,0.5167962334454328
7.0,0.04,normal,-1.0,-1,0.119202946,0.0902560959807126,0.8819181558040211,-1.308163738663912,0.8819181558040211,0.38760255049151365,-0.9689313751137687,-0.2906644123111275,1.4606986863226303,0.3571473412849833,0.7439218334212172,0.9969540977336045,0.2437597217843201,0.5590735406474016
7.0,0.05,normal,-1.0,-1,0.119202946,0.17975888477693158,0.8819181558040211,-1.2658361123052357,0.8819181558040211,0.4747144924881482,-0.9280049219820994,-0.2266452147469756,1.586879002039756,0.3740135299792809,0.7947218405147953,1.0830745166710687,0.25527121014901505,0.5972508578799217
7.0,0.06,normal,-1.0,-1,0.119202946,0.25318396790934905,0.8819181558040211,-1.2239026535496773,0.8819181558040211,0.5462022493522581,-0.8874509585152808,-0.17062435458151132,1.6975005746160228,0.3914142888038213,0.8416564160608162,1.1585758032199671,0.26714755259817097,0.632523218698561
7.0,0.07,normal,-1.0,-1,0.119202946,0.31468779486748333,0.8819181558040211,-1.1823442514345945,0.8819181558040211,0.6060997685000841,-0.8472512720712394,-0.12057575178557767,1.7953595685337163,0.40936284152335256,0.8856347477084332,1.2253663917923072,0.2793977745978723,0.6655738975217989
7.0,0.08,normal,-1.0,-1,0.119202946,0.3669019216602407,0.8819181558040211,-1.141148221796651,0.8819181558040211,0.6569618749672438,-0.8073938503505182,-0.07521598769163723,1.8823230826933248,0.42787033586282136,0.927228537863968,1.2847206122119912,0.2920294846783177,0.6968325412213087
7.0,0.09,normal,-1.0,-1,0.119202946,0.4116122238356905,0.8819181558040211,-1.100305896401899,0.8819181558040211,0.7005228987890052,-0.7678705548486905,-0.033673828029842645,1.9597309031347823,0.44694647847403096,0.9668213056263056,1.3375528934403818,0.3050493078104071,0.7265873727943015
7.0,0.1,normal,-1.0,-1,0.119202946,0.45009412022276796,0.8819181558040211,-1.0598113005441072,0.8819181558040211,0.7380218056434209,-0.7286758448940316,0.0046729803746946574,2.0285979445820375,0.4665998572827174,1.0046826086623886,1.3845559337063238,0.3184631054136337,0.7550409707275161
7.0,0.11,normal,-1.0,-1,0.119202946,0.4832948656390357,0.8819181558040211,-1.0196603667537172,0.8819181558040211,0.7703790341482541,-0.6898060190773219,0.04028650753546614,2.0897262840614896,0.48683811252187176,1.0410086331879234,1.4262771655403272,0.3322760920895162,0.7823407732561454
7.0,0.12,normal,-1.0,-1,0.119202946,0.5119401746995278,0.8819181558040211,-0.9798504381205144,0.8819181558040211,0.7982999467654021,-0.6512587361527964,0.07352060530630283,2.1437716769459674,0.507668027186441,1.0759460409513695,1.4631641542152125,0.3464928973586193,0.8085969998942635
7.0,0.13,normal,-1.0,-1,0.119202946,0.5366002427704344,0.8819181558040211,-0.9403799394848892,0.8819181558040211,0.822338896567704,-0.6130326979122404,0.10465309932773181,2.191285273056676,0.5290955712524065,1.1096067867623447,1.4955930697637596,0.3611175958408998,0.8338937871317456
7.0,0.14,normal,-1.0,-1,0.119202946,0.5577325440360457,0.8819181558040211,-0.9012481515071222,0.8819181558040211,0.842940764931318,-0.575127431314928,0.13390666680819496,2.2327409552934125,0.5511259176877779,1.1420777499973025,1.5238873461037385,0.3761537181835082,0.858296426721597
7.0,0.15,normal,-1.0,-1,0.119202946,0.5757106427734611,0.8819181558040211,-0.8624550507129312,0.8819181558040211,0.8604689284672429,-0.5375431342657584,0.16146289710074224,2.268553914318313,0.573763440323935,1.173427231808753,1.548330358606013,0.39160424960794,0.881856248474893
7.0,0.16,normal,-1.0,-1,0.119202946,0.5908442125710494,0.8819181558040211,-0.8240011934820989,0.8819181558040211,0.8752246943112882,-0.5002805637831139,0.18747206526408716,2.299093655237524,0.5970116995023872,1.2037094764758862,1.5691743013973776,0.4074716201136813,0.9046140181547339
7.0,0.17,normal,-1.0,-1,0.119202946,0.6033933262550866,0.8819181558040211,-0.7858876302634078,0.8819181558040211,0.8874611751330199,-0.46334095332317043,0.21206011090492474,2.3246933416315123,0.6208734191217443,1.2329679021674222,1.586646564835523,0.42375768881233833,0.9266023654652423
7.0,0.18,normal,-1.0,-1,0.119202946,0.613578895721798,0.8819181558040211,-0.7481158411699996,0.8819181558040211,0.897393427181905,-0.426725950727397,0.23533373822725398,2.3456566579352236,0.6453504573871776,1.2612374627692777,1.6009544192114902,0.44046372396359884,0.9478475590167492
7.0,0.19,normal,-1.0,-1,0.119202946,0.6215904547529258,0.8819181558040211,-0.7106876870761032,0.8819181558040211,0.905206009095522,-0.3904375711224546,0.2573842189865337,2.362262946989925,0.6704437727705945,1.2885464091289094,1.6122885212246252,0.4575903797424168,0.9683708299394679
7.0,0.2,normal,-1.0,-1,0.119202946,0.6275920650668656,0.8819181558040211,-0.673605372205191,0.8819181558040211,0.9110587186794699,-0.35447816090499573,0.27829027888723706,2.374771121956793,0.6961533861966516,1.314917625575154,1.6208255839365675,0.4751376704302604,0.9881893763074074
7.0,0.21,normal,-1.0,-1,0.119202946,0.6317268692963736,0.8819181558040211,-0.6368714154123858,0.8819181558040211,0.9150910159348872,-0.3188503701137908,0.2981203229105482,2.3834226902618734,0.7224783401545221,1.3403696599508326,1.6267304406700849,0.4931049425081314,1.0073171372304197
7.0,0.22,normal,-1.0,-1,0.119202946,0.6341206505407406,0.8819181558040211,-0.6004886281715752,0.8819181558040211,0.9174254814287376,-0.2835571312706779,0.3169341750790299,2.388444123119669,0.7494166552286065,1.364917528473895,1.6301576622531182,0.5114908449879639,1.0257653977249663
7.0,0.23,normal,-1.0,-1,0.119202946,0.6348846505786581,0.8819181558040211,-0.5644600978281409,0.8819181558040211,0.918170554719377,-0.24860164330279502,0.334784455708291,2.3900487353871953,0.7769652844026957,1.3885733524889856,1.631252840054237,0.5302932982243637,1.0435432672468576
7.0,0.24,normal,-1.0,-1,0.119202946,0.6341178266991032,0.8819181558040211,-0.5287891750613251,0.8819181558040211,0.9174227275468004,-0.21398735952805398,0.3517176840093732,2.388438194037131,0.8051200653972184,1.411346867880517,1.6301536155436995,0.5495094613838901,1.0606580625263269
7.0,0.25,normal,-1.0,-1,0.119202946,0.6319086777539735,0.8819181558040211,-0.4934794647720461,0.8819181558040211,0.9152683185938763,-0.17971797894797578,0.3677751698229502,2.3838037415339417,0.8338756712330586,1.4332458367558565,1.6269905152704744,0.5691356987039401,1.0771156169569562
