"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"50",0.831568,3.5415,1.40458,0.753863,0.964863,5.81747,0.43728,-1.33385,6.38637,0.603813,0.719225,0.159533
"51",0.83819,3.43051,1.29586,0.738963,0.897075,5.7334,0.611989,-1.28951,6.21643,0.579851,0.917699,0.165291
"52",0.834535,3.30198,1.22552,0.730522,0.92886,5.85615,0.736316,-1.74252,5.73025,0.576041,0.797908,0.16472
"53",0.842552,3.15956,1.22469,0.780585,0.973767,5.99995,0.366997,-0.461602,7.80589,0.534952,1.3929,0.15368
"54",0.885598,3.27791,1.01556,0.825251,0.982658,6.32167,0.65063,-1.50425,6.30327,0.564702,0.978074,0.165469
"55",1.01919,3.47715,0.975678,0.707253,0.873263,5.84983,0.376017,-0.613283,7.16258,0.537025,1.33398,0.158269
"56",0.933706,3.51982,1.10045,0.85012,0.992013,6.32925,0.644664,-0.914498,6.45314,0.547146,1.16811,0.158533
"57",0.995498,3.66557,1.05141,0.801104,0.989737,6.32815,0.452269,-1.58459,6.20579,0.534612,1.27551,0.151675
"58",0.82284,2.78891,1.10481,0.755382,0.920519,5.83422,0.301571,-0.639749,7.47614,0.575075,0.836168,0.156888
"59",0.71385,2.31606,1.48452,0.752841,0.894015,5.84259,0.496655,-0.4228,6.95512,0.519431,1.61686,0.150515
"60",0.71513,2.1676,1.58774,0.759039,0.918554,5.78896,0.570086,-0.68453,7.29882,0.57493,0.937431,0.161262
"61",0.56724,2.09592,1.63637,0.794166,0.949905,6.13785,0.67281,-0.333672,7.48978,0.542117,1.30871,0.162445
"62",0.534907,1.77327,1.70239,0.797863,0.979598,6.05887,0.711621,-0.0207441,6.6865,0.56564,1.07242,0.158444
"63",0.553048,1.99322,2.21422,0.78143,0.951903,6.12069,0.536462,-0.61647,6.91372,0.557685,1.04718,0.157543
"64",0.732774,2.17926,1.62209,0.791472,0.961225,6.11645,0.62771,-0.649356,6.97986,0.566196,1.02623,0.174211
