"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"215",0.796339,3.16343,1.36036,0.786139,0.973708,6.1437,0.485826,-0.931138,6.49169,0.568645,0.977961,0.170163
"216",0.827256,3.11039,1.00704,0.805483,0.954153,6.183,0.553868,-1.27904,6.36482,0.549701,1.32899,0.156274
"217",0.897481,3.35955,1.92538,0.79418,0.982931,5.9985,0.425161,-0.73577,7.22138,0.568231,0.855795,0.166437
"218",0.877375,3.00745,1.68408,0.797019,0.956499,6.21336,0.645571,-1.65094,6.03689,0.553201,1.25727,0.161756
"219",0.924352,3.07819,1.27395,0.791634,0.986591,6.28576,0.38604,-0.23238,7.69148,0.557559,1.14423,0.167029
"220",0.856872,2.69373,1.49809,0.827247,0.991647,6.45781,0.694663,-1.55443,6.29783,0.562952,1.12173,0.15857
"221",0.813827,2.7216,1.35948,0.756455,0.947357,6.17126,0.316931,-0.714639,7.11841,0.557813,1.10368,0.164896
"222",0.584075,2.40821,1.55323,0.779963,0.985579,6.11041,0.214121,-0.319654,8.49722,0.556941,1.11671,0.161273
"223",0.528275,2.26813,1.87542,0.781863,0.943215,6.17283,0.687555,-0.23336,6.46346,0.534675,1.5059,0.160859
"224",0.786008,2.4515,1.23716,0.757233,0.933049,5.98628,0.605554,-0.973856,6.73878,0.556806,0.982518,0.156445
"225",0.667024,2.65347,1.60107,0.801872,0.981233,6.28351,0.405122,-0.213616,7.60559,0.561672,1.01918,0.16874
"226",0.574659,2.50103,1.64926,0.747612,0.957856,6.16299,0.517403,-0.341971,6.68299,0.547363,1.19793,0.159802
"227",0.646108,2.57243,1.50039,0.814727,0.982847,6.12292,0.481683,-0.323878,6.32232,0.574329,1.12709,0.159143
"228",0.76859,2.85037,0.994484,0.757083,0.95132,6.18351,0.553314,-0.271232,6.63217,0.550296,1.37324,0.144273
"229",0.821801,3.06664,1.78599,0.792501,0.988279,6.43319,0.444049,-2.40588,6.03945,0.575106,0.863215,0.184019
"230",0.850795,3.38303,1.73058,0.767705,0.954672,5.93548,0.701007,-0.403246,7.24506,0.553132,1.21921,0.152808
"231",0.630534,2.83649,1.01048,0.803899,0.987751,6.15759,0.79935,-1.02343,6.72885,0.572713,1.1058,0.160656
"232",0.628926,2.96871,0.983922,0.81076,0.977421,6.40009,0.44442,-0.151702,7.20287,0.557037,1.01078,0.160946
"233",0.596245,3.36304,1.76946,0.751424,0.926571,6.00446,0.712041,-0.467005,5.94681,0.549769,1.11833,0.159863
"234",0.522826,3.13093,1.79982,0.805297,0.991466,6.25881,0.531,-0.473337,6.40296,0.559109,1.17529,0.155204
"235",0.183537,2.35835,2.37818,0.790677,0.964128,6.15352,0.641693,-1.07383,6.38611,0.552573,1.10168,0.16519
"236",0.19272,2.44132,2.1467,0.806776,0.986542,5.97964,0.605813,-0.424409,7.12596,0.570231,1.05308,0.154623
"237",0.317163,2.1835,1.75861,0.736698,0.944579,6.01303,0.464616,-0.33263,7.33708,0.571631,0.997396,0.172691
"238",0.584295,2.91848,1.72187,0.808232,0.985332,6.2608,0.548922,-2.4149,6.01527,0.563197,1.00945,0.153865
"239",0.546891,2.90336,1.40387,0.751668,0.937462,5.91701,0.51315,-0.405098,7.55454,0.53357,1.24966,0.15393
"240",0.680798,3.34408,1.48387,0.803648,0.997869,6.31168,0.672734,-0.879617,6.16125,0.57151,0.973126,0.178707
"241",0.700885,3.43128,1.39611,0.788582,0.992389,6.57421,0.523133,-0.580573,7.49326,0.574458,1.10353,0.169263
"242",0.646941,2.98152,2.10643,0.73214,0.907363,5.81533,0.709874,-1.76732,6.17927,0.553932,0.974816,0.152309
"243",0.659576,3.06569,2.1104,0.739382,0.91571,5.78201,0.82057,-2.83997,6.16935,0.558719,0.914125,0.155613
"244",0.591091,2.23046,1.60644,0.811162,0.972537,6.43486,0.524314,-0.171317,6.81384,0.545074,1.1925,0.164175
"245",0.638989,2.36738,1.55312,0.780764,0.991913,6.06962,0.749568,-0.0838065,7.23785,0.558497,1.07035,0.16227
"246",0.515271,2.50946,1.88686,0.797215,0.964263,5.98897,0.729332,-0.257161,7.20443,0.568381,1.15505,0.148538
"247",0.626952,2.60088,1.62239,0.819777,0.972675,6.17174,0.370709,-0.81355,7.16035,0.563227,1.13645,0.168983
"248",0.556329,2.64832,1.87299,0.744265,0.937299,5.95329,0.524889,-0.59494,6.90311,0.559365,1.14031,0.159899
"249",0.555639,2.76943,1.15911,0.77889,0.960984,6.20206,0.561157,-0.215109,7.11045,0.554572,1.18614,0.165667
"250",0.169793,2.32164,2.19025,0.787557,0.939245,6.09534,0.713764,-0.739154,6.26534,0.557456,1.0897,0.163013
"251",0.459897,2.19668,2.06586,0.809695,0.992753,6.3766,0.548145,-0.214303,6.98112,0.573189,1.0016,0.164512
"252",0.802275,3.20665,1.20195,0.819466,0.989952,6.29842,0.522855,-1.31958,6.31978,0.536457,1.19453,0.150261
"253",0.693589,3.02626,1.23999,0.775281,0.941806,6.14279,0.523722,-0.349418,6.77542,0.551177,1.14353,0.160332
"254",0.708525,3.08916,1.23667,0.767559,0.939733,6.14694,0.558978,-1.08799,6.71354,0.557742,1.28743,0.161087
"255",0.549998,2.86119,0.863571,0.7644,0.964954,6.01608,0.703105,-1.00536,6.12532,0.571033,0.844199,0.178577
"256",0.601457,3.06479,1.40958,0.7489,0.937655,5.89809,0.69636,-0.6423,6.56503,0.577603,0.933763,0.153015
"257",0.610795,3.09775,1.74163,0.820529,0.992108,6.17371,0.559074,-0.712826,7.03185,0.554322,1.08379,0.165557
"258",0.90154,2.92345,1.07341,0.709387,0.905268,5.71881,0.699189,-1.44394,6.83014,0.564543,1.00585,0.166129
"259",0.600854,2.75216,1.48682,0.794931,0.979289,6.20035,0.554476,-0.286641,6.64438,0.558924,1.07631,0.157453
"260",0.509671,2.98234,1.81266,0.721486,0.911328,5.75499,0.622676,-0.540095,6.51013,0.570995,0.925718,0.166359
"261",0.408877,2.57142,2.24434,0.781734,0.960364,6.09465,0.52122,-1.19675,6.26343,0.564514,1.03312,0.161427
"262",0.372798,1.9514,1.8252,0.713459,0.890562,5.77148,0.537676,-0.0569565,6.77379,0.545595,1.18131,0.147153
"263",0.546125,2.34191,1.51186,0.73434,0.904965,5.63713,0.629647,-0.409437,7.00343,0.555165,0.980442,0.155496
"264",0.614076,2.15687,1.58724,0.815483,0.985449,6.28266,0.325943,-0.238939,7.77897,0.549432,1.25891,0.167752
"265",0.699563,2.25995,1.54494,0.807593,0.978378,6.43566,0.378351,-1.30081,6.89771,0.553547,1.09685,0.158085
"266",0.483574,1.78137,1.58297,0.789966,0.963318,6.17436,0.753554,-0.644336,6.47665,0.566382,1.04688,0.168041
"267",0.703703,1.82079,0.915474,0.754356,0.966313,6.05188,0.4438,-0.221952,7.87642,0.559853,1.03104,0.150282
"268",0.823992,2.24357,1.43767,0.78728,0.984421,6.47874,0.728765,-0.132927,7.64592,0.560226,0.956153,0.160338
"269",0.958848,2.86422,1.32224,0.787359,0.968612,6.07839,0.418114,-1.17123,6.88038,0.526143,1.4041,0.164146
"270",0.536631,2.1649,1.8587,0.775586,0.985648,6.1813,0.679705,-0.0251531,6.99749,0.570948,0.886941,0.156561
"271",0.556241,2.33907,1.85269,0.812033,0.964076,6.24447,0.610129,-0.0525973,7.3743,0.566033,1.10967,0.171068
"272",0.423147,2.18067,1.99794,0.774154,0.976933,6.11961,0.500219,-0.36696,7.1393,0.560664,0.992887,0.167495
"273",0.542012,2.30881,1.68578,0.823646,0.988272,6.32565,0.518672,-0.274122,7.35899,0.559658,1.08792,0.152334
"274",0.439879,2.40718,1.53639,0.797119,0.941529,6.05422,0.646629,-0.354187,6.84569,0.553009,1.21062,0.162088
"275",0.477356,2.41221,1.60605,0.806295,0.985244,6.38568,0.518541,-0.494506,7.24672,0.532446,1.43229,0.150534
"276",0.508918,2.77515,1.72372,0.797108,0.984256,6.16203,0.614273,-1.04128,6.16603,0.553598,0.929148,0.174224
"277",0.558613,2.99215,1.68971,0.784608,0.977405,6.25457,0.467373,-1.13552,6.36813,0.562093,1.16893,0.15759
"278",0.593126,3.08878,1.67502,0.774777,0.977794,6.22965,0.549294,-1.54834,6.10053,0.572615,0.943583,0.156732
"279",0.332956,2.70929,2.21565,0.774511,0.978874,5.92136,0.483641,-0.553617,7.09349,0.583659,0.697007,0.155818
"280",0.529233,2.73939,1.77291,0.788353,0.965819,6.15048,0.382368,-0.522542,7.26053,0.537622,1.25821,0.177273
"281",0.527479,2.78935,1.86293,0.805923,0.966686,6.04637,0.363237,-0.535591,7.40878,0.558143,1.07947,0.152223
"282",0.573912,2.57688,1.39361,0.799429,0.98455,6.34458,0.585159,-0.616718,6.5096,0.577104,0.877909,0.162552
"283",0.65051,3.20557,1.18581,0.782733,0.934233,6.09448,0.517866,-0.867013,6.26369,0.532511,1.34111,0.158335
"284",0.718845,2.97145,1.75592,0.785134,0.981629,6.24257,0.460306,-0.969169,6.54911,0.553779,1.16551,0.156665
"285",0.595085,2.68619,1.58316,0.77112,0.962805,5.97999,0.500089,-1.06456,6.23992,0.574351,0.868931,0.172859
"286",0.648694,3.20289,1.31855,0.780504,0.980058,6.08749,0.49905,-0.772811,6.78623,0.556784,1.06362,0.167501
"287",0.612851,3.13624,1.53485,0.792356,0.963401,6.13563,0.561442,-2.21155,6.08242,0.56404,0.977891,0.165625
"288",0.662261,3.29077,1.27004,0.794778,0.972663,6.18735,0.559909,-0.883153,6.68165,0.541208,1.42426,0.156066
"289",0.645771,3.05015,1.3037,0.787816,0.963677,6.17207,0.595703,-1.58371,6.31717,0.558373,1.24236,0.158497
"290",0.494517,2.51333,1.60152,0.75556,0.927537,6.03969,0.460869,-0.761343,6.24141,0.556246,1.05916,0.16422
"291",0.44211,2.7972,1.77614,0.758166,0.958522,5.91649,0.698652,-0.569238,6.38199,0.543856,1.13815,0.147309
"292",0.46058,2.74751,2.044,0.795426,0.97759,6.16667,0.666445,-0.571108,6.4944,0.564759,1.14294,0.170299
"293",0.487742,2.89297,1.86778,0.787949,0.975397,6.34552,0.497369,-2.02863,6.14132,0.571712,0.924342,0.157838
"294",0.709742,2.85776,1.51049,0.774654,0.957525,5.9246,0.555855,-0.106085,7.43736,0.563396,1.05134,0.167088
"295",0.647333,2.85069,1.41406,0.781902,0.95109,6.13873,0.407236,-1.15537,6.3523,0.567657,1.05902,0.159863
"296",0.539382,2.60169,1.53731,0.750428,0.943337,5.94328,0.842225,-0.439739,6.16612,0.553992,1.26508,0.158514
"297",0.591519,2.57561,1.54446,0.804415,0.985809,6.30248,0.342111,-0.29665,7.88023,0.562506,1.24155,0.172649
"298",0.61607,3.20315,1.44619,0.757072,0.983651,5.87121,0.618409,-2.16711,5.81557,0.578441,0.770111,0.160533
"299",0.803789,3.16043,1.01376,0.795757,0.95806,5.94923,0.533222,-0.341114,7.09781,0.543422,1.17991,0.171986
"300",0.745015,3.01899,1.04914,0.809455,0.973135,5.84861,0.538042,-1.86846,6.04032,0.560967,0.980962,0.155749
"301",0.661226,3.04134,1.49695,0.783128,0.96758,6.03472,0.432175,-0.403902,7.03437,0.557357,1.17225,0.165182
"302",0.706916,3.2508,1.40344,0.796981,0.967383,6.10799,0.459701,-0.350427,7.5578,0.558319,1.26562,0.174377
"303",0.61227,3.06767,1.67336,0.774969,0.952563,5.90966,0.658358,-1.72989,5.93799,0.567365,0.956186,0.15508
"304",0.675204,3.07488,1.73603,0.74235,0.929882,6.04715,0.37989,-0.3692,7.49086,0.559116,1.0514,0.17286
"305",0.609809,3.08785,1.23194,0.808783,0.979223,6.34105,0.539112,-1.4599,6.28934,0.554206,0.943496,0.162046
"306",0.644752,3.37174,1.25543,0.800936,0.979691,6.09438,0.655184,-0.632972,6.76002,0.568904,0.992284,0.154993
"307",0.66554,3.37987,1.52834,0.765891,0.958311,5.78751,0.732673,-1.1853,6.18876,0.561733,0.95918,0.146624
"308",0.661472,3.48917,1.53304,0.740781,0.925275,5.96136,0.434933,-1.10753,6.71969,0.558415,1.00977,0.171956
"309",0.699373,3.20697,1.43315,0.764575,0.963818,5.95772,0.534413,-0.52878,7.10987,0.591547,0.822716,0.160183
"310",0.520249,2.57908,1.98983,0.759218,0.937527,5.87499,0.367046,-0.264485,7.84695,0.533291,1.17177,0.162349
"311",0.447228,2.37348,1.91847,0.737575,0.924245,5.84009,0.572306,-0.463622,6.45054,0.569885,1.02868,0.155476
"312",0.572045,2.75237,1.47633,0.8049,0.980359,6.13844,0.414786,-0.424513,7.02229,0.566271,0.895001,0.165772
"313",0.561539,2.58908,1.64694,0.748669,0.939241,6.0824,0.702312,-1.74864,6.18969,0.565548,1.06019,0.16319
"314",0.614544,3.02631,1.77184,0.792551,0.984319,6.08165,0.424024,-0.710956,7.00302,0.560207,1.17706,0.170064
"315",0.828762,3.29196,0.845794,0.770727,0.95768,6.12794,0.360218,-0.739998,7.32062,0.537505,1.35349,0.147929
"316",0.75242,2.99768,0.880573,0.774803,0.984161,6.00092,0.722428,-0.816067,6.31867,0.575725,0.890077,0.181152
"317",0.630638,2.99911,1.84251,0.796057,0.954354,6.05616,0.231764,-0.427163,8.14523,0.554729,1.18537,0.166568
"318",0.461287,2.68802,1.67139,0.768715,0.985871,6.13587,0.245059,-0.273838,8.21122,0.590916,0.697304,0.163958
"319",0.647938,2.74172,1.71834,0.748482,0.958146,5.78514,0.105537,-0.357295,8.3273,0.572847,1.09709,0.161938
"320",0.619435,2.66593,1.55705,0.7798,0.981656,6.30663,0.0948948,-0.376005,8.32267,0.571975,0.856661,0.163357
"321",0.805587,2.57074,1.22296,0.806262,0.957149,6.35032,0.199095,-0.499815,7.90945,0.543491,1.31665,0.144121
"322",0.880202,2.59244,1.28709,0.781957,0.984739,6.33749,0.44605,-0.365395,7.30156,0.578116,1.0439,0.164399
"323",0.758186,2.57132,1.44579,0.759459,0.972294,5.89483,0.570929,-0.577662,6.45674,0.577505,1.04397,0.165455
"324",0.811856,2.77471,0.892845,0.79806,0.983545,5.93307,0.410015,-0.286021,7.90098,0.556372,1.09444,0.162952
"325",0.704519,2.33368,1.00561,0.831227,0.993239,6.6793,0.737195,-0.738826,6.14923,0.555906,1.19849,0.157075
"326",0.575734,2.63924,1.3777,0.781409,0.912242,5.66328,0.455207,-0.443701,7.15344,0.57287,1.02279,0.167819
"327",0.533642,2.61342,1.64195,0.802896,0.982777,6.21724,0.634593,-1.32934,6.58379,0.536561,1.22708,0.161766
"328",0.520754,2.58288,1.59549,0.799827,0.976194,6.18454,0.732142,-0.648608,6.52211,0.536234,1.30489,0.164278
"329",0.519757,2.63382,1.59909,0.800456,0.982843,6.44518,0.51456,-0.749059,6.49279,0.53209,1.33744,0.143743
"330",0.547524,2.62362,1.7909,0.754193,0.9669,6.18773,0.449289,-0.65802,6.89266,0.577568,0.899743,0.170332
"331",0.748464,3.08062,0.977751,0.809637,0.986364,6.1291,0.559453,-0.426779,7.00273,0.549608,1.40086,0.151966
"332",0.732441,3.02459,1.45872,0.807351,0.989936,6.37879,0.516989,-0.525294,6.92863,0.573734,0.925904,0.157285
"333",0.712135,3.02139,1.5503,0.794479,0.967135,6.14902,0.635175,-1.09615,6.19346,0.548189,1.13211,0.160305
"334",0.56672,3.02462,1.43021,0.774246,0.962815,5.92353,0.475133,-0.958437,7.00634,0.554538,1.0104,0.174226
"335",0.556575,2.77739,1.39046,0.789522,0.970366,6.34495,0.628495,-1.41746,6.30328,0.555707,1.02303,0.152808
"336",0.655764,3.18776,1.29861,0.8018,0.978394,6.34301,0.588969,-1.0841,6.14446,0.550779,1.15513,0.152427
"337",0.696098,2.67817,1.0389,0.786393,0.9605,5.92349,0.651527,-0.193616,6.81309,0.554328,1.09998,0.162112
"338",0.608605,2.33581,1.2089,0.770327,0.939149,6.22964,0.504636,-0.210096,7.13653,0.566282,1.0152,0.162666
"339",0.440705,2.73074,1.42256,0.80739,0.979569,6.27033,0.698573,-0.219648,7.01083,0.538672,1.25884,0.157288
"340",0.522554,2.84223,1.7117,0.737842,0.920566,6.01668,0.689335,-0.365526,6.54411,0.568505,0.916205,0.174777
"341",0.453751,2.37057,1.90506,0.797092,0.998854,6.27554,0.277499,-0.326478,7.8142,0.545444,1.29634,0.154782
"342",0.499261,2.38617,1.79085,0.81444,0.998635,6.24418,0.265363,-0.56841,7.86395,0.560406,0.929982,0.172988
"343",0.74043,3.07731,1.01275,0.798983,0.985456,6.29332,0.464784,-0.51177,6.84682,0.556223,1.0462,0.15723
"344",0.571266,2.52551,1.84842,0.751839,0.938703,6.04594,0.507159,-0.244156,7.26893,0.558018,1.21519,0.167787
"345",0.549246,2.40108,2.19808,0.782978,0.978837,6.29523,0.5825,-1.30164,6.301,0.553996,1.10587,0.155289
"346",0.629882,2.75137,1.73129,0.813316,0.964163,6.07364,0.633129,-0.377464,6.12079,0.545313,1.23465,0.15513
"347",0.702441,2.95194,1.17858,0.789486,0.986472,5.92348,0.566048,-0.791098,6.76192,0.582325,0.850468,0.165595
"348",0.702988,3.26393,1.39289,0.745088,0.955289,6.25487,0.634605,-0.892558,6.56999,0.54194,1.16211,0.153317
"349",0.665417,3.02729,1.21446,0.797716,0.951959,5.9872,0.496011,-0.536403,6.82887,0.551916,1.08272,0.153021
"350",0.51683,2.31396,1.7638,0.790382,0.989101,6.30475,0.49518,-0.483242,6.25875,0.560891,1.11761,0.172889
"351",0.459253,2.44965,1.68711,0.801105,0.95791,6.12291,0.560742,-0.183847,7.44959,0.577616,1.01115,0.162385
"352",0.632477,2.63223,1.6492,0.735516,0.970923,5.91382,0.456641,-1.00891,6.50757,0.566612,0.978781,0.157674
"353",0.612517,2.61139,1.74447,0.763148,0.941529,5.90871,0.616036,-0.0769549,7.17799,0.55373,1.25073,0.152772
"354",0.634753,2.61007,1.77093,0.756904,0.907003,5.91827,0.604821,-0.226626,6.54004,0.553085,1.17462,0.15712
"355",0.488774,2.82622,1.81645,0.790596,0.969219,6.06516,0.482216,-0.826595,6.09449,0.575172,0.932612,0.16563
"356",0.690051,3.47851,1.7222,0.794025,0.956773,5.91835,0.531264,-0.895494,6.57039,0.552428,1.14689,0.151729
"357",0.767988,3.57738,1.59061,0.788752,0.98488,6.44331,0.515121,-2.37598,6.21474,0.564899,1.00361,0.17163
"358",0.839439,3.42213,1.46289,0.763794,0.9072,6.05278,0.615729,-0.552909,6.86105,0.550085,1.38375,0.143395
"359",0.659652,3.27257,1.30918,0.754193,0.949997,5.77136,0.647441,-2.0662,6.32566,0.570916,0.892811,0.179736
"360",0.636713,3.39404,1.34693,0.756993,0.935185,5.80148,0.618127,-0.76669,6.15111,0.573258,1.02557,0.165809
"361",0.608288,3.40323,1.76878,0.778013,0.936443,6.15709,0.376537,-0.619724,6.8632,0.556382,1.13178,0.163276
"362",0.686671,3.31171,1.54402,0.778331,0.972633,6.01778,0.571422,-0.999641,6.64113,0.571922,0.959087,0.166584
"363",0.812876,3.47462,1.25308,0.79318,0.959021,6.32254,0.305756,-0.638667,7.47768,0.54869,1.2436,0.147362
"364",0.990958,3.90297,1.13628,0.793803,0.974813,6.0515,0.299497,-0.864418,7.55811,0.530896,1.33978,0.156442
"365",0.76975,2.21062,1.59495,0.781835,0.972668,6.01088,0.485691,-0.315541,7.04056,0.583531,0.954554,0.167317
"366",0.753224,2.23984,1.52744,0.787576,0.979375,6.36128,0.461198,-0.451035,6.93898,0.583151,0.760085,0.163931
"367",0.833216,2.71445,1.49174,0.798669,0.981181,5.94802,0.525067,-0.368933,7.21566,0.550532,1.16555,0.165948
"368",0.844526,2.8463,0.892848,0.783627,0.976937,6.14826,0.566592,-0.319894,6.87708,0.5444,1.16666,0.161927
"369",0.819004,2.98549,0.549082,0.816618,0.976631,6.30585,0.554443,-0.619973,6.39468,0.554396,1.13987,0.155744
"370",0.468482,3.03062,1.70652,0.749411,0.900314,5.68077,0.549702,-1.30879,6.24834,0.546865,1.21578,0.173522
"371",0.408838,2.18448,1.36804,0.813456,0.995386,6.08652,0.546482,-0.368526,7.14022,0.547697,1.12708,0.163469
"372",0.458314,2.09862,1.75939,0.766446,0.935298,6.14768,0.526343,-0.296999,7.29343,0.581102,0.801878,0.165051
"373",0.436174,2.19216,1.86465,0.7915,0.993612,6.32564,0.488676,-0.391694,7.28182,0.588811,0.892286,0.171838
"374",0.585851,2.54388,1.61638,0.794549,0.940196,6.03445,0.59795,-0.374523,6.55724,0.55538,1.32461,0.153822
"375",0.721813,2.56227,1.42363,0.773383,0.972155,6.35842,0.419144,-0.42073,7.49945,0.5819,1.00107,0.164632
"376",0.664288,2.33127,1.40384,0.806744,0.971145,6.18352,0.574537,-0.482834,7.10785,0.566329,0.952626,0.153797
"377",0.719613,2.32662,1.24856,0.809744,0.969273,6.07386,0.493881,-0.43121,7.00242,0.565201,0.867684,0.169419
"378",0.733504,2.26995,1.09504,0.773143,0.969891,6.09955,0.563889,-0.358615,7.20602,0.572325,1.0825,0.164629
"379",0.752008,2.27971,1.09626,0.799504,0.969483,6.456,0.45135,-0.595597,7.18814,0.56057,0.861719,0.159692
"380",0.847183,3.00969,1.04102,0.807276,0.990172,5.91822,0.471202,-0.320734,7.02985,0.538097,1.12617,0.158073
"381",0.872676,2.8651,1.13884,0.801707,0.98544,6.11955,0.474553,-0.448511,7.52613,0.559831,1.18586,0.171383
"382",0.744026,2.82141,1.9479,0.781405,0.931802,6.07869,0.583703,-0.736655,6.45551,0.546495,1.33886,0.161969
"383",0.726557,2.81117,1.77575,0.787637,0.977752,6.10109,0.588664,-1.32756,6.04332,0.56263,1.0159,0.175471
"384",0.728842,3.08289,1.32513,0.758193,0.952647,5.98132,0.460841,-0.364333,7.53619,0.559508,1.02324,0.14513
"385",0.64072,2.65616,1.53784,0.808088,0.975373,6.30137,0.56312,-0.545762,6.61567,0.551943,1.13825,0.160971
"386",0.858364,3.95608,1.31613,0.747866,0.943172,5.9237,0.535795,-1.7791,6.47087,0.571868,1.01491,0.155828
"387",1.20075,4.5564,0.564486,0.763543,0.96705,5.75931,0.325284,-1.38993,7.22543,0.582948,0.812313,0.16984
"388",1.026,4.03582,0.898407,0.761667,0.922262,6.179,0.740349,-1.60334,6.09917,0.54225,1.29401,0.15222
"389",1.02548,3.97632,1.50561,0.796122,0.981275,6.11834,0.381978,-0.952988,7.24652,0.574729,0.987154,0.166763
"390",0.964186,4.15497,0.993155,0.744713,0.920131,5.96787,0.603802,-1.60781,6.21066,0.542445,1.21511,0.154274
"391",0.730958,2.98692,1.40141,0.757685,0.948453,6.08863,0.506554,-0.946436,6.82583,0.56856,1.01949,0.177359
"392",0.628454,2.78005,1.80277,0.809015,0.990284,6.29501,0.364715,-0.385656,7.68961,0.588828,0.896888,0.162551
"393",0.596122,2.42912,1.73557,0.762625,0.933868,6.02648,0.610172,-0.615729,6.3967,0.552954,1.05947,0.160567
"394",0.54362,2.15513,1.53953,0.720517,0.879783,5.83593,0.441872,-0.241101,7.30973,0.568175,1.21645,0.164705
"395",0.628689,2.24097,1.71426,0.732884,0.913383,5.85227,0.478731,-0.649761,7.18461,0.588853,0.936241,0.160273
"396",0.675455,2.70278,1.34577,0.771763,0.955305,6.08001,0.61943,-0.210089,6.76749,0.528941,1.25441,0.161561
"397",0.706047,2.82037,1.31311,0.796405,0.971924,6.05769,0.638055,-0.743674,6.34785,0.58167,0.896871,0.167134
"398",0.579422,2.5107,1.52679,0.718609,0.921238,5.53953,0.555028,-0.469632,6.5642,0.586266,0.748303,0.169998
"399",0.628694,2.97966,1.20442,0.674589,0.88894,5.7624,0.51226,-1.0148,6.08918,0.567025,0.869241,0.161069
"400",0.655422,2.88293,1.10239,0.709788,0.91757,5.57914,0.451926,-0.882261,6.74279,0.561552,0.932585,0.162038
"401",0.649153,2.69174,1.44094,0.76469,0.96965,5.95562,0.547436,-0.285491,6.96144,0.568966,0.832094,0.16663
"402",0.74839,2.67973,1.24275,0.79956,0.981765,6.14864,0.422549,-0.276628,7.46594,0.581649,1.0002,0.174243
"403",0.721489,2.72548,1.35445,0.838309,0.995271,6.15247,0.458098,-1.09516,6.68574,0.569238,0.868609,0.169357
"404",0.98338,3.13934,0.768852,0.808323,0.955098,6.19971,0.680229,-0.620539,6.43301,0.549984,1.01592,0.157138
"405",0.778211,2.55277,1.71236,0.823526,0.982703,6.20078,0.427749,-0.57108,7.15583,0.551281,1.1582,0.158602
"406",0.638039,2.62769,1.90812,0.769025,0.921194,6.05443,0.400457,-0.42753,7.38989,0.548924,1.19442,0.150453
"407",0.650236,2.62094,1.20116,0.799803,0.989769,6.26535,0.509996,-0.383601,6.84659,0.565072,0.897622,0.178639
"408",0.674023,2.67702,0.871507,0.795646,0.970168,6.13608,0.598034,-0.346112,6.76919,0.57541,0.955732,0.156199
"409",0.472581,2.56158,1.2606,0.753929,0.971839,5.95453,0.605076,-1.19752,6.04176,0.562689,1.04464,0.166416
"410",0.484796,2.79976,1.21007,0.833439,0.984618,6.35404,0.622245,-1.01692,5.83026,0.571256,0.900086,0.160622
"411",0.547924,2.94807,1.10618,0.835364,0.991623,6.5477,0.64747,-1.49712,5.95441,0.581295,0.840213,0.16647
"412",0.56244,2.86788,1.05374,0.771473,0.993474,5.95315,0.545195,-0.355385,6.95347,0.582683,0.692795,0.161956
"413",0.672654,2.82955,1.15312,0.828888,0.976068,6.37287,0.511744,-0.571702,6.8559,0.562231,0.965471,0.162972
"414",0.728781,3.03642,1.02465,0.810778,0.992651,6.11054,0.56738,-1.22029,6.45583,0.560474,1.05941,0.156277
"415",0.884621,3.3691,1.50689,0.748009,0.980822,6.11737,0.541924,-0.557391,7.10885,0.563397,1.01281,0.175945
"416",0.805821,3.352,1.13908,0.814765,0.993735,6.00632,0.593596,-1.86726,6.19808,0.556541,1.17397,0.153954
"417",0.849471,2.81706,0.343625,0.776965,0.97466,5.86452,0.59723,-0.2144,6.93024,0.538112,1.28748,0.170017
"418",0.726918,2.79074,0.615279,0.785998,0.962609,6.41102,0.751513,-1.11946,6.4343,0.56204,1.05234,0.151554
"419",0.87028,3.07276,0.986913,0.724076,0.904969,5.76815,0.424631,-1.40051,6.36554,0.544323,1.27513,0.169035
"420",0.864947,3.08067,1.28985,0.770725,0.95546,6.02529,0.678098,-0.228607,6.87955,0.571891,0.990909,0.14643
"421",0.882172,2.99416,1.14991,0.762903,0.921029,5.84795,0.60856,-0.681591,6.15218,0.547379,1.21282,0.173432
"422",0.909762,3.04829,0.694235,0.797576,0.991149,6.25428,0.494689,-0.316389,7.06257,0.562145,1.04743,0.160975
"423",0.788094,2.59125,1.0654,0.815472,0.953819,6.10887,0.505701,-0.812979,6.79744,0.553015,1.12251,0.155431
"424",0.803598,3.05034,1.17474,0.762748,0.969365,5.97692,0.594027,-1.46514,5.95222,0.55814,0.984904,0.156074
"425",1.02935,3.64103,1.13082,0.776493,0.963921,6.0537,0.381537,-0.590793,7.18038,0.554086,1.14985,0.157364
"426",0.810463,3.22525,1.41055,0.804224,0.990267,6.17034,0.566735,-0.551455,6.30444,0.545364,1.16411,0.158436
"427",0.826919,2.99013,1.37286,0.797269,0.955057,6.29387,0.472606,-0.729126,6.34879,0.548848,1.15984,0.159149
"428",0.693486,2.00477,1.41733,0.749393,0.936637,6.00887,0.588122,-0.240536,7.77831,0.550996,1.16718,0.16008
"429",0.757512,2.02903,1.35242,0.816317,0.995024,6.44397,0.597423,-1.43693,6.51951,0.563545,1.07058,0.168468
"430",0.874708,2.3843,1.15754,0.797971,0.983874,6.09247,0.465257,-0.209702,7.89905,0.558591,1.07763,0.157654
"431",0.897488,2.45285,1.09251,0.764676,0.965916,6.12048,0.517925,-0.305708,7.26964,0.564257,0.897223,0.159417
